Country,female_expected_school_years,male_expected_school_years,total_expected_school_years,ISO
Albania,13.269,12.559,12.889,ALB
Argentina,13.061,12.704,12.88,ARG
Australia,13.62,13.583,13.601,AUS
Austria,13.467,13.39,13.428,AUT
Bahrain,13.052,12.673,12.85,BHR
Belgium,13.567,13.481,13.524,BEL
Bulgaria,12.243,12.372,12.309,BGR
Burkina Faso,7.004,7.034,7.019,BFA
Canada,13.71,13.734,13.722,CAN
Chile,13.055,12.951,13.002,CHL
Colombia,12.975,12.751,12.86,COL
Costa Rica,13.251,12.986,13.116,CRI
Cote d'Ivoire,7.6,8.515,8.057,CIV
Croatia,13.552,13.237,13.39,HRV
Cyprus,13.62,13.557,13.588,CYP
Czechia,13.603,13.527,13.564,CZE
Denmark,13.472,13.322,13.395,DNK
Ecuador,13.156,12.726,12.937,ECU
Estonia,13.53,13.441,13.484,EST
Finland,13.745,13.749,13.747,FIN
France,13.824,13.782,13.803,FRA
Gabon,8.538,7.928,8.256,GAB
Georgia,13.112,12.78,12.936,GEO
Germany,13.345,13.318,13.331,DEU
Ghana,12.23,12.015,12.12,GHA
Greece,13.288,13.291,13.289,GRC
Guinea,6.161,7.815,6.994,GIN
Hungary,12.962,12.952,12.957,HUN
Iceland,13.545,13.379,13.46,ISL
India,11.213,11.044,11.125,IND
Ireland,13.92,13.882,13.901,IRL
Israel,13.908,13.626,13.763,ISR
Italy,13.32,13.187,13.251,ITA
Jordan,11.394,10.906,11.144,JOR
Kazakhstan,13.825,13.591,13.708,KAZ
Kyrgyz Republic,12.884,12.861,12.872,KGZ
Lao PDR,10.538,10.691,10.615,LAO
Latvia,13.718,13.524,13.618,LVA
Lithuania,13.889,13.78,13.833,LTU
Malaysia,12.689,12.256,12.466,MYS
Malta,13.51,13.35,13.428,MLT
Mauritius,12.721,12.157,12.434,MUS
Mexico,12.979,12.675,12.824,MEX
Moldova,11.822,11.801,11.811,MDA
Mongolia,13.199,13.126,13.163,MNG
Montenegro,12.632,12.888,12.766,MNE
Morocco,10.523,10.253,10.38,MAR
Nepal,12.223,12.29,12.255,NPL
New Zealand,13.779,13.618,13.697,NZL
North Macedonia,10.984,11.06,11.025,MKD
Norway,13.672,13.67,13.671,NOR
Pakistan,8.707,10.04,9.374,PAK
Philippines,13.151,12.752,12.948,PHL
Poland,13.455,13.369,13.411,POL
Portugal,13.829,13.97,13.901,PRT
Romania,11.912,11.752,11.83,ROU
Russian Federation,13.685,13.694,13.69,RUS
Saudi Arabia,12.346,12.369,12.357,SAU
Senegal,7.922,6.799,7.332,SEN
Serbia,13.376,13.271,13.325,SRB
Slovak Republic,12.645,12.595,12.619,SVK
Slovenia,13.718,13.578,13.646,SVN
South Africa,10.149,10.232,10.217,ZAF
Spain,13.086,12.864,12.972,ESP
Sweden,13.904,13.959,13.936,SWE
Switzerland,13.218,13.31,13.266,CHE
Tanzania,7.334,7.1,7.215,TZA
Thailand,12.669,12.769,12.721,THA
United Kingdom,13.858,13.859,13.858,GBR
United States,12.936,12.849,12.892,USA
Uzbekistan,12.02,12.062,12.041,UZB
