Country,SERIES Description,Female_Labor_Rate_Percent,TIME_PERIOD,ISO
Afghanistan,"Labour Force Participation Rate by Sex, 15+ - ILO Modelled Estimates, Nov. 2019 (%)",21.8,2020,AFG
Albania,"Labour Force Participation Rate by Sex, 15+ - ILO Modelled Estimates, Nov. 2019 (%)",46.6,2020,ALB
Algeria,"Labour Force Participation Rate by Sex, 15+ - ILO Modelled Estimates, Nov. 2019 (%)",14.6,2020,DZA
Angola,"Labour Force Participation Rate by Sex, 15+ - ILO Modelled Estimates, Nov. 2019 (%)",76.1,2020,AGO
Azerbaijan,"Labour Force Participation Rate by Sex, 15+ - ILO Modelled Estimates, Nov. 2019 (%)",63.1,2020,AZE
Argentina,"Labour Force Participation Rate by Sex, 15+ - ILO Modelled Estimates, Nov. 2019 (%)",50.6,2020,ARG
Australia,"Labour Force Participation Rate by Sex, 15+ - ILO Modelled Estimates, Nov. 2019 (%)",60.2,2020,AUS
Austria,"Labour Force Participation Rate by Sex, 15+ - ILO Modelled Estimates, Nov. 2019 (%)",55.0,2020,AUT
Bahamas,"Labour Force Participation Rate by Sex, 15+ - ILO Modelled Estimates, Nov. 2019 (%)",68.0,2020,BHS
Bahrain,"Labour Force Participation Rate by Sex, 15+ - ILO Modelled Estimates, Nov. 2019 (%)",45.0,2020,BHR
Bangladesh,"Labour Force Participation Rate by Sex, 15+ - ILO Modelled Estimates, Nov. 2019 (%)",36.4,2020,BGD
Armenia,"Labour Force Participation Rate by Sex, 15+ - ILO Modelled Estimates, Nov. 2019 (%)",47.0,2020,ARM
Barbados,"Labour Force Participation Rate by Sex, 15+ - ILO Modelled Estimates, Nov. 2019 (%)",61.4,2020,BRB
Eswatini,"Labour Force Participation Rate by Sex, 15+ - ILO Modelled Estimates, Nov. 2019 (%)",48.6,2020,SWZ
Sweden,"Labour Force Participation Rate by Sex, 15+ - ILO Modelled Estimates, Nov. 2019 (%)",61.4,2020,SWE
Switzerland,"Labour Force Participation Rate by Sex, 15+ - ILO Modelled Estimates, Nov. 2019 (%)",62.9,2020,CHE
Syrian Arab Republic,"Labour Force Participation Rate by Sex, 15+ - ILO Modelled Estimates, Nov. 2019 (%)",14.3,2020,SYR
Tajikistan,"Labour Force Participation Rate by Sex, 15+ - ILO Modelled Estimates, Nov. 2019 (%)",31.3,2020,TJK
Thailand,"Labour Force Participation Rate by Sex, 15+ - ILO Modelled Estimates, Nov. 2019 (%)",58.9,2020,THA
Togo,"Labour Force Participation Rate by Sex, 15+ - ILO Modelled Estimates, Nov. 2019 (%)",76.1,2020,TGO
Tonga,"Labour Force Participation Rate by Sex, 15+ - ILO Modelled Estimates, Nov. 2019 (%)",45.8,2020,TON
Trinidad and Tobago,"Labour Force Participation Rate by Sex, 15+ - ILO Modelled Estimates, Nov. 2019 (%)",49.8,2020,TTO
United Arab Emirates,"Labour Force Participation Rate by Sex, 15+ - ILO Modelled Estimates, Nov. 2019 (%)",52.5,2020,ARE
Tunisia,"Labour Force Participation Rate by Sex, 15+ - ILO Modelled Estimates, Nov. 2019 (%)",23.6,2020,TUN
Turkey,"Labour Force Participation Rate by Sex, 15+ - ILO Modelled Estimates, Nov. 2019 (%)",33.9,2020,TUR
Turkmenistan,"Labour Force Participation Rate by Sex, 15+ - ILO Modelled Estimates, Nov. 2019 (%)",51.3,2020,TKM
Uganda,"Labour Force Participation Rate by Sex, 15+ - ILO Modelled Estimates, Nov. 2019 (%)",67.1,2020,UGA
Ukraine,"Labour Force Participation Rate by Sex, 15+ - ILO Modelled Estimates, Nov. 2019 (%)",46.5,2020,UKR
North Macedonia,"Labour Force Participation Rate by Sex, 15+ - ILO Modelled Estimates, Nov. 2019 (%)",42.9,2020,MKD
Egypt,"Labour Force Participation Rate by Sex, 15+ - ILO Modelled Estimates, Nov. 2019 (%)",22.1,2020,EGY
United Kingdom of Great Britain and Northern Ireland,"Labour Force Participation Rate by Sex, 15+ - ILO Modelled Estimates, Nov. 2019 (%)",57.7,2020,GBR
United Republic of Tanzania,"Labour Force Participation Rate by Sex, 15+ - ILO Modelled Estimates, Nov. 2019 (%)",79.4,2020,TZA
United States of America,"Labour Force Participation Rate by Sex, 15+ - ILO Modelled Estimates, Nov. 2019 (%)",55.9,2020,USA
United States Virgin Islands,"Labour Force Participation Rate by Sex, 15+ - ILO Modelled Estimates, Nov. 2019 (%)",58.1,2020,VIR
Burkina Faso,"Labour Force Participation Rate by Sex, 15+ - ILO Modelled Estimates, Nov. 2019 (%)",58.2,2020,BFA
Uruguay,"Labour Force Participation Rate by Sex, 15+ - ILO Modelled Estimates, Nov. 2019 (%)",55.7,2020,URY
Uzbekistan,"Labour Force Participation Rate by Sex, 15+ - ILO Modelled Estimates, Nov. 2019 (%)",52.3,2020,UZB
Venezuela (Bolivarian Republic of),"Labour Force Participation Rate by Sex, 15+ - ILO Modelled Estimates, Nov. 2019 (%)",45.1,2020,
Samoa,"Labour Force Participation Rate by Sex, 15+ - ILO Modelled Estimates, Nov. 2019 (%)",31.0,2020,WSM
Yemen,"Labour Force Participation Rate by Sex, 15+ - ILO Modelled Estimates, Nov. 2019 (%)",5.7,2020,YEM
Zambia,"Labour Force Participation Rate by Sex, 15+ - ILO Modelled Estimates, Nov. 2019 (%)",70.4,2020,ZMB
"China, Taiwan Special Administrative Region","Labour Force Participation Rate by Sex, 15+ - ILO Modelled Estimates, Nov. 2019 (%)",50.5,2020,VEN
Malaysia,"Labour Force Participation Rate by Sex, 15+ - ILO Modelled Estimates, Nov. 2019 (%)",50.9,2020,MYS
Maldives,"Labour Force Participation Rate by Sex, 15+ - ILO Modelled Estimates, Nov. 2019 (%)",41.6,2020,MDV
Mali,"Labour Force Participation Rate by Sex, 15+ - ILO Modelled Estimates, Nov. 2019 (%)",61.2,2020,MLI
Malta,"Labour Force Participation Rate by Sex, 15+ - ILO Modelled Estimates, Nov. 2019 (%)",45.9,2020,MLT
Mauritania,"Labour Force Participation Rate by Sex, 15+ - ILO Modelled Estimates, Nov. 2019 (%)",28.9,2020,MRT
Mauritius,"Labour Force Participation Rate by Sex, 15+ - ILO Modelled Estimates, Nov. 2019 (%)",45.1,2020,MUS
Mexico,"Labour Force Participation Rate by Sex, 15+ - ILO Modelled Estimates, Nov. 2019 (%)",44.3,2020,MEX
Mongolia,"Labour Force Participation Rate by Sex, 15+ - ILO Modelled Estimates, Nov. 2019 (%)",53.1,2020,MNG
Republic of Moldova,"Labour Force Participation Rate by Sex, 15+ - ILO Modelled Estimates, Nov. 2019 (%)",40.0,2020,MDA
Montenegro,"Labour Force Participation Rate by Sex, 15+ - ILO Modelled Estimates, Nov. 2019 (%)",46.6,2020,MNE
Morocco,"Labour Force Participation Rate by Sex, 15+ - ILO Modelled Estimates, Nov. 2019 (%)",21.4,2020,MAR
Mozambique,"Labour Force Participation Rate by Sex, 15+ - ILO Modelled Estimates, Nov. 2019 (%)",77.1,2020,MOZ
Oman,"Labour Force Participation Rate by Sex, 15+ - ILO Modelled Estimates, Nov. 2019 (%)",31.0,2020,OMN
Namibia,"Labour Force Participation Rate by Sex, 15+ - ILO Modelled Estimates, Nov. 2019 (%)",56.6,2020,NAM
Serbia,"Labour Force Participation Rate by Sex, 15+ - ILO Modelled Estimates, Nov. 2019 (%)",47.3,2020,SRB
Sierra Leone,"Labour Force Participation Rate by Sex, 15+ - ILO Modelled Estimates, Nov. 2019 (%)",57.2,2020,SLE
Singapore,"Labour Force Participation Rate by Sex, 15+ - ILO Modelled Estimates, Nov. 2019 (%)",61.8,2020,SGP
Slovakia,"Labour Force Participation Rate by Sex, 15+ - ILO Modelled Estimates, Nov. 2019 (%)",52.0,2020,SVK
Viet Nam,"Labour Force Participation Rate by Sex, 15+ - ILO Modelled Estimates, Nov. 2019 (%)",72.6,2020,VNM
Slovenia,"Labour Force Participation Rate by Sex, 15+ - ILO Modelled Estimates, Nov. 2019 (%)",53.0,2020,SVN
Somalia,"Labour Force Participation Rate by Sex, 15+ - ILO Modelled Estimates, Nov. 2019 (%)",21.8,2020,SOM
South Africa,"Labour Force Participation Rate by Sex, 15+ - ILO Modelled Estimates, Nov. 2019 (%)",49.7,2020,ZAF
Zimbabwe,"Labour Force Participation Rate by Sex, 15+ - ILO Modelled Estimates, Nov. 2019 (%)",78.2,2020,ZWE
Spain,"Labour Force Participation Rate by Sex, 15+ - ILO Modelled Estimates, Nov. 2019 (%)",51.6,2020,ESP
South Sudan,"Labour Force Participation Rate by Sex, 15+ - ILO Modelled Estimates, Nov. 2019 (%)",71.0,2020,SSD
Sudan,"Labour Force Participation Rate by Sex, 15+ - ILO Modelled Estimates, Nov. 2019 (%)",29.1,2020,SDN
Western Sahara,"Labour Force Participation Rate by Sex, 15+ - ILO Modelled Estimates, Nov. 2019 (%)",26.1,2020,ESH
Suriname,"Labour Force Participation Rate by Sex, 15+ - ILO Modelled Estimates, Nov. 2019 (%)",38.8,2020,SUR
Belgium,"Labour Force Participation Rate by Sex, 15+ - ILO Modelled Estimates, Nov. 2019 (%)",48.5,2020,BEL
