Country,Year,Life expectancy at birth (years),Life expectancy at age 60 (years),ISO
Afghanistan,2019,63.2,15.1,AFG
Albania,2019,79.9,21.9,ALB
Algeria,2019,78.1,22.6,DZA
Angola,2019,65.5,18.6,AGO
Antigua and Barbuda,2019,78.0,21.3,ATG
Argentina,2019,79.5,23.1,ARG
Armenia,2019,79.2,22.1,ARM
Australia,2019,84.8,26.8,AUS
Austria,2019,83.8,25.6,AUT
Azerbaijan,2019,74.1,18.3,AZE
Bahamas,2019,76.6,22.4,BHS
Bahrain,2019,77.0,19.4,BHR
Bangladesh,2019,75.6,21.5,BGD
Barbados,2019,77.7,21.8,BRB
Belarus,2019,79.6,22.5,BLR
Belgium,2019,83.5,25.6,BEL
Belize,2019,77.8,22.9,BLZ
Benin,2019,65.7,18.5,BEN
Bhutan,2019,74.4,19.9,BTN
Bolivia (Plurinational State of),2019,73.1,19.1,BOL
Bosnia and Herzegovina,2019,79.1,21.6,BIH
Botswana,2019,65.5,18.0,BWA
Brazil,2019,79.4,23.5,BRA
Brunei Darussalam,2019,75.4,19.4,BRN
Bulgaria,2019,78.6,22.0,BGR
Burkina Faso,2019,65.2,18.1,BFA
Burundi,2019,66.1,17.6,BDI
Cote d'Ivoire,2019,65.8,18.7,CIV
Cabo Verde,2019,77.9,21.8,CPV
Cambodia,2019,72.7,19.1,KHM
Cameroon,2019,64.5,18.3,CMR
Canada,2019,84.1,26.4,CAN
Central African Republic,2019,56.3,14.9,CAF
Chad,2019,61.3,17.3,TCD
Chile,2019,83.2,25.9,CHL
China,2019,80.5,23.1,CHN
Colombia,2019,81.9,25.3,COL
Comoros,2019,68.9,18.8,COM
Congo,2019,65.6,17.1,COG
Costa Rica,2019,83.4,26.4,CRI
Croatia,2019,81.6,23.7,HRV
Cuba,2019,80.3,23.2,CUB
Cyprus,2019,85.1,26.4,CYP
Czechia,2019,81.9,24.0,CZE
Democratic People's Republic of Korea,2019,75.7,20.8,PRK
Democratic Republic of the Congo,2019,64.8,17.9,COD
Denmark,2019,83.0,24.9,DNK
Djibouti,2019,67.8,19.0,DJI
Dominican Republic,2019,76.2,22.4,DOM
Ecuador,2019,80.5,24.3,ECU
Egypt,2019,74.1,19.1,EGY
El Salvador,2019,79.1,23.6,SLV
Equatorial Guinea,2019,63.6,18.8,GNQ
Eritrea,2019,67.1,16.8,ERI
Estonia,2019,82.6,25.0,EST
Eswatini,2019,63.2,17.7,SWZ
Ethiopia,2019,70.5,19.4,ETH
Fiji,2019,70.3,17.5,FJI
Finland,2019,84.0,25.8,FIN
France,2019,85.1,27.2,FRA
Gabon,2019,69.7,19.3,GAB
Gambia,2019,67.7,18.0,GMB
Georgia,2019,77.8,21.0,GEO
Germany,2019,84.8,26.9,DEU
Ghana,2019,69.2,18.9,GHA
Greece,2019,83.6,25.5,GRC
