Country,Year,political_empow_index,ISO
Afghanistan,2019,0.544,AFG
Albania,2019,0.897,ALB
Algeria,2019,0.768,DZA
Angola,2019,0.736,AGO
Argentina,2019,0.855,ARG
Armenia,2019,0.898,ARM
Asia,2019,0.6246122,
Australia,2019,0.92,AUS
Austria,2019,0.935,AUT
Azerbaijan,2019,0.656,AZE
Bahrain,2019,0.518,BHR
Bangladesh,2019,0.668,BGD
Barbados,2019,0.889,BRB
Belarus,2019,0.872,BLR
Belgium,2019,0.95,BEL
Benin,2019,0.826,BEN
Bhutan,2019,0.779,BTN
Bolivia,2019,0.765,BOL
Bosnia and Herzegovina,2019,0.831,BIH
Botswana,2019,0.742,BWA
Brazil,2019,0.765,BRA
Bulgaria,2019,0.911,BGR
Burkina Faso,2019,0.679,BFA
Burundi,2019,0.58,BDI
Cambodia,2019,0.585,KHM
Cameroon,2019,0.759,CMR
Canada,2019,0.912,CAN
Cape Verde,2019,0.811,
Central African Republic,2019,0.59,CAF
Chad,2019,0.564,TCD
Chile,2019,0.858,CHL
China,2019,0.617,CHN
Colombia,2019,0.762,COL
Comoros,2019,0.506,COM
Congo,2019,0.405,COG
Costa Rica,2019,0.913,CRI
Cote d'Ivoire,2019,0.664,CIV
Croatia,2019,0.891,HRV
Cuba,2019,0.733,CUB
Cyprus,2019,0.872,CYP
Czechia,2019,0.896,CZE
Democratic Republic of Congo,2019,0.553,COD
Denmark,2019,0.955,DNK
Djibouti,2019,0.591,DJI
Dominican Republic,2019,0.853,DOM
East Timor,2019,0.756,TLS
Ecuador,2019,0.848,ECU
Egypt,2019,0.435,EGY
El Salvador,2019,0.764,SLV
Equatorial Guinea,2019,0.483,GNQ
Eritrea,2019,0.164,ERI
Estonia,2019,0.949,EST
Eswatini,2019,0.337,SWZ
Ethiopia,2019,0.727,ETH
Fiji,2019,0.687,FJI
Finland,2019,0.948,FIN
France,2019,0.944,FRA
Gabon,2019,0.762,GAB
Gambia,2019,0.753,GMB
Georgia,2019,0.89,GEO
Germany,2019,0.959,DEU
Ghana,2019,0.805,GHA
Greece,2019,0.913,GRC
Guatemala,2019,0.699,GTM
Guinea,2019,0.488,GIN
Guinea-Bissau,2019,0.719,GNB
Guyana,2019,0.877,GUY
Haiti,2019,0.417,HTI
Honduras,2019,0.69,HND
Hong Kong,2019,0.87,HKG
Hungary,2019,0.841,HUN
Iceland,2019,0.923,ISL
India,2019,0.636,IND
Indonesia,2019,0.737,IDN
Iran,2019,0.354,IRN
Iraq,2019,0.547,IRQ
Ireland,2019,0.924,IRL
Israel,2019,0.876,ISR
Italy,2019,0.935,ITA
Jamaica,2019,0.923,JAM
Japan,2019,0.8,JPN
Jordan,2019,0.669,JOR
Kazakhstan,2019,0.805,KAZ
Kenya,2019,0.754,KEN
Kosovo,2019,0.754,XKX
