Country,Child early and forced marriage,Domestic violence/Intimate partner violence,Female genital mutilation,Female genital mutilation.1,Femicide Feminicide,Forced pregnancy,Forced sterilization,Form Of Violence,Other harmful practices,Sexual harassment,Sexual violence,Stalking,Technology-facilitated violence against women,Trafficking,Violence against women and girls,tot_prev,ISO
Afghanistan,9,2,0,0,0,0,0,0,3,0,2,0,0,1,25,42,AFG
Albania,0,20,0,0,0,0,0,0,0,6,3,0,0,7,12,48,ALB
Algeria,1,6,0,0,0,0,0,0,0,1,2,0,0,1,25,36,DZA
Andorra,0,5,0,0,0,0,0,0,0,0,0,0,0,1,17,23,AND
Angola,0,11,0,0,0,0,0,0,0,0,1,0,0,0,12,24,AGO
Antigua and Barbuda,0,11,0,0,0,0,0,0,0,0,4,0,0,2,8,25,ATG
Argentina,0,14,0,0,2,0,0,0,0,2,6,0,0,14,46,84,ARG
Armenia,0,17,0,0,0,0,0,0,0,0,3,0,0,8,12,40,ARM
Australia,1,73,2,0,1,0,0,0,0,15,22,0,0,19,30,163,AUS
Austria,3,20,6,0,0,0,0,0,0,1,8,0,3,10,11,62,AUT
Azerbaijan,1,12,0,0,2,0,0,0,0,1,4,0,0,5,16,41,AZE
Bahamas,0,12,0,0,0,0,0,0,0,1,1,0,0,6,13,33,BHS
Bahrain,0,13,0,0,0,0,0,0,0,1,0,0,0,3,7,24,BHR
Bangladesh,2,5,0,0,0,0,0,0,7,3,1,0,0,8,34,60,BGD
Barbados,0,12,0,0,0,0,0,0,0,3,3,0,0,6,13,37,BRB
Belarus,0,6,0,0,0,0,0,0,0,0,2,0,0,8,6,22,BLR
Belgium,2,55,11,0,0,0,0,0,0,4,11,0,0,12,24,119,BEL
Belize,0,16,0,0,0,0,0,0,0,0,1,0,0,0,8,25,BLZ
Benin,3,0,1,0,0,0,0,1,0,2,2,0,0,1,9,19,BEN
Bhutan,1,10,0,0,0,0,0,0,0,3,2,0,0,5,25,46,BTN
Bolivia (Plurinational State of),0,4,0,0,0,0,0,0,0,0,0,0,0,9,19,32,BOL
Bosnia and Herzegovina,0,18,0,0,1,0,0,0,0,1,5,0,0,19,23,67,BIH
Botswana,1,2,0,0,0,0,0,0,1,3,3,0,1,2,28,41,BWA
Brazil,0,2,0,0,0,0,0,0,0,2,1,0,0,0,6,11,BRA
Brunei Darussalam,0,3,0,0,0,0,0,0,1,0,1,0,0,2,4,11,BRN
Bulgaria,2,18,0,0,0,0,0,0,0,0,2,0,0,6,16,44,BGR
Burkina Faso,6,2,19,0,0,0,0,0,3,2,0,0,0,1,38,71,BFA
Burundi,1,0,1,0,0,0,0,0,0,0,3,0,0,1,31,37,BDI
Cabo Verde,0,9,0,0,0,0,0,0,0,2,0,0,0,4,24,39,CPV
Cambodia,1,13,0,0,0,0,0,0,2,1,1,0,0,25,30,73,KHM
Cameroon,2,2,0,0,0,0,0,0,0,0,0,0,0,0,13,17,CMR
Canada,1,96,0,0,0,0,0,0,1,4,18,2,0,5,45,172,CAN
